claim_id,policy_id,customer_id,customer_name,customer_email,customer_phone,customer_state,customer_segment,policy_type,coverage_amount,premium_amount,deductible,claim_date,reported_date,claim_type,claim_amount,status,priority,adjuster_id,location_state,processing_days,settlement_amount,is_fraud,fraud_score,incident_description,weather_conditions,police_report_filed,witnesses,payment_method,created_at
CLM-2024-123456,POL-12345678,CUST-100001,John Smith,john.smith@email.com,(555) 234-5678,CA,Premium,Auto,250000,2500,1000,2024-01-15,2024-01-16,Collision,25000,Settled,Medium,ADJ-1001,CA,35,23500,FALSE,0.245,Vehicle collision at intersection during rush hour,Clear,TRUE,2,Check,2024-08-07
CLM-2024-123457,POL-12345679,CUST-100002,,jane.johnson@email.com,(555) 345-6789,NY,Standard,Auto,100000,1800,500,2024-01-18,2024-01-20,Theft,15000,Approved,High,ADJ-1002,NY,28,14800,FALSE,0.312,Vehicle stolen from shopping mall parking lot,Rainy,TRUE,0,Wire Transfer,2024-08-07
CLM-2024-123458,POL-12345680,CUST-100003,Mike Brown,,,(555) 456-7890,TX,Premium,Home,500000,3200,2500,2024-01-20,2024-01-21,Fire,75000,Under Review,Critical,ADJ-1003,TX,,,TRUE,0.890,House fire from electrical malfunction in kitchen,Clear,FALSE,1,Pending,2024-08-07
CLM-2024-123459,,CUST-100004,Sarah Davis,sarah.davis@email.com,(555) 567-8901,FL,Standard,Home,100000,1500,1000,2024-01-22,2024-01-23,Water Damage,12000,Closed,Low,ADJ-1004,FL,22,11200,FALSE,0.178,Pipe burst in basement causing flooding,Snowy,FALSE,0,ACH,2024-08-07
CLM-2024-123460,POL-12345682,CUST-100005,David Miller,INVALID_EMAIL,(555) 678-9012,IL,Basic,Health,50000,800,500,2024-01-25,2024-01-26,Medical,8500,Settled,Medium,ADJ-1005,IL,18,8000,FALSE,0.455,Emergency room visit after sports injury,Clear,FALSE,3,Check,2024-08-07
CLM-2024-123461,POL-12345683,CUST-100006,Lisa Wilson,lisa.wilson@email.com,,PA,Premium,Auto,500000,2800,5000,2024-01-28,2024-01-30,Liability,95000,Denied,High,ADJ-1006,PA,65,,TRUE,0.923,Multi-vehicle accident with suspicious circumstances,Foggy,TRUE,1,Denied,2024-08-07
CLM-2024-123462,,CUST-100007,Chris Moore,chris.moore@email.com,(555) 890-1234,,Standard,Home,250000,2100,2500,2024-02-01,2024-02-02,Natural Disaster,45000,Open,Critical,ADJ-1007,GA,,,FALSE,0.234,Tornado damage to roof and exterior walls,Windy,TRUE,5,Pending,2024-08-07
CLM-2024-123463,POL-12345685,CUST-100008,Emma Taylor,emma.taylor@email.com,(555) 901-2345,OH,Basic,Auto,50000,1200,1000,2024-02-03,2024-02-04,Collision,,Settled,Medium,ADJ-1008,OH,32,17100,FALSE,0.367,Rear-end collision at traffic light,Clear,TRUE,2,Digital Wallet,2024-08-07
CLM-2024-123464,POL-12345686,,Alex Anderson,alex.anderson@email.com,(555) 012-3456,MI,Standard,Auto,100000,1600,1000,2024-02-05,2024-02-06,Theft,22000,Under Review,High,ADJ-1009,MI,,,FALSE,0.445,Catalytic converter theft from parking garage,Clear,TRUE,1,Pending,2024-08-07
CLM-2024-123465,POL-12345687,CUST-100010,Maria Thomas,maria.thomas@email.com,(555) 123-4567,AZ,,Home,1000000,4200,2500,2024-02-08,2024-02-09,Fire,65000,Approved,Critical,ADJ-1010,AZ,42,62000,FALSE,0.198,Wildfire damage to property exterior and landscaping,Windy,FALSE,0,Wire Transfer,2024-08-07
CLM-2023-234567,POL-23456789,CUST-200001,Robert Garcia,robert.garcia@email.com,(555) 234-5679,CA,Premium,Auto,250000,2600,1500,2023-03-15,2023-03-16,Collision,32000,Settled,Medium,ADJ-2001,CA,38,30500,FALSE,0.256,Side-impact collision at intersection,Clear,TRUE,3,Check,2024-08-07
CLM-2023-234568,POL-23456790,,Jennifer Rodriguez,jennifer.rodriguez@email.com,(555) 345-6780,NY,Standard,Health,100000,1100,2000,2023-04-22,2023-04-24,Medical,125000,Denied,High,ADJ-2002,NY,78,,TRUE,0.912,Expensive surgery claim with questionable medical necessity,Rainy,FALSE,0,Denied,2024-08-07
CLM-2023-234569,POL-23456791,CUST-200003,William Martinez,invalid.email.format,,(555) 456-7891,TX,Basic,Home,100000,1300,1000,2023-05-10,2023-05-11,Water Damage,28000,Settled,Low,ADJ-2003,TX,25,26500,FALSE,0.189,Washing machine overflow damage to hardwood floors,Clear,FALSE,0,ACH,2024-08-07
CLM-2023-234570,POL-23456792,CUST-200004,Jessica Hernandez,jessica.hernandez@email.com,(555) 567-8902,FL,,Auto,250000,2200,2500,2023-06-18,2023-06-20,Liability,55000,Closed,Medium,ADJ-2004,FL,48,52000,FALSE,0.334,Accident causing injury to pedestrian,Rainy,TRUE,4,Wire Transfer,2024-08-07
CLM-2023-234571,POL-23456793,CUST-200005,Christopher Lopez,christopher.lopez@email.com,(555) 678-9013,IL,Premium,,2000000,8500,5000,2023-07-25,2023-07-26,Fire,180000,Settled,Critical,ADJ-2005,IL,95,175000,FALSE,0.445,Commercial kitchen fire in restaurant,Clear,TRUE,2,Check,2024-08-07
CLM-2023-234572,POL-23456794,CUST-200006,Amanda Gonzalez,amanda.gonzalez@email.com,(555) 789-0124,PA,Basic,Auto,50000,950,500,2023-08-12,2023-08-14,Theft,8500,Settled,Low,ADJ-2006,PA,15,8200,FALSE,0.167,Stereo system stolen from vehicle,Foggy,TRUE,0,Digital Wallet,2024-08-07
CLM-2023-234573,POL-23456795,CUST-200007,Joshua Wilson,joshua.wilson@email.com,(555) 890-1235,GA,Standard,Home,250000,1900,1000,2023-09-03,2023-09-04,Natural Disaster,42000,Approved,High,ADJ-2007,GA,55,40500,FALSE,0.278,Hurricane damage to roof and windows,Windy,FALSE,8,Wire Transfer,2024-08-07
CLM-2023-234574,POL-23456796,CUST-200008,Ashley Moore,ashley.moore@email.com,(555) 901-2346,OH,Premium,Life,1000000,3200,0,2023-10-15,2023-10-16,Medical,350000,Under Review,Critical,ADJ-2008,OH,,,TRUE,0.876,Large life insurance claim with timing concerns,Clear,FALSE,1,Pending,2024-08-07
CLM-2023-234575,POL-23456797,CUST-200009,Matthew Taylor,matthew.taylor@email.com,(555) 012-3457,MI,Standard,Auto,100000,1750,1500,2023-11-22,2023-11-23,Collision,28500,Settled,Medium,ADJ-2009,MI,41,27200,FALSE,0.334,Multi-vehicle pileup on highway,Snowy,TRUE,6,Check,2024-08-07
CLM-2023-234576,POL-23456798,CUST-200010,Melissa Anderson,melissa.anderson@email.com,(555) 123-4568,AZ,Basic,Travel,25000,450,250,2023-12-08,2023-12-10,Medical,4500,Settled,Low,ADJ-2010,AZ,12,4200,FALSE,0.123,Medical emergency during international travel,Clear,FALSE,0,ACH,2024-08-07
CLM-2024-345678,POL-34567890,CUST-300001,Daniel White,daniel.white@email.com,(555) 234-5670,CA,Premium,Auto,500000,3100,2500,2024-03-10,2024-03-11,Collision,95000,Under Review,Critical,ADJ-3001,CA,,,TRUE,0.891,High-speed collision with expensive luxury vehicle,Clear,TRUE,2,Pending,2024-08-07
CLM-2024-345679,POL-34567891,CUST-300002,Stephanie Harris,stephanie.harris@email.com,(555) 345-6781,NY,Standard,Health,150000,1350,1000,2024-03-15,2024-03-17,Medical,45000,Approved,High,ADJ-3002,NY,38,43500,FALSE,0.456,Surgery following workplace accident,Rainy,FALSE,2,Wire Transfer,2024-08-07
CLM-2024-345680,POL-34567892,CUST-300003,Kevin Clark,kevin.clark@email.com,(555) 456-7892,TX,Basic,Home,75000,980,500,2024-03-20,2024-03-21,Water Damage,15500,Settled,Medium,ADJ-3003,TX,28,14800,FALSE,0.234,Roof leak during heavy rainstorm,Rainy,FALSE,0,Check,2024-08-07
CLM-2024-345681,POL-34567893,CUST-300004,Rachel Lewis,rachel.lewis@email.com,(555) 567-8903,FL,Premium,Business,1000000,6800,2500,2024-03-25,2024-03-26,Fire,125000,Open,Critical,ADJ-3004,FL,,,FALSE,0.367,Electrical fire in office building,Clear,TRUE,12,Pending,2024-08-07
